Brand of Car,Model of car,Year of Car,Price sold (or unsold),Country  of auction,Currency,Year of Auction
Porsche,911 Carrera 2S,2004,"£19,688",UK,"£19,688",2021
Porsche,911 Carrera,2005,"£32,625",UK,"£32,625",2021
Porsche,911 Carrera,2002,"$26,950",USA,"$26,950",2021
Porsche,911 Carrera 2S Convertible,2008,"£31,860",UK,"£31,860",2021
Porsche,911 Carrera 2,2004,"Estimate £18,000 - £22,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera Cabriolet,2009,"£36,075",UK,"£36,075",2021
Porsche,911 Carrera S,2007,"€47,000",France,"€47,000",2021
Porsche,911 Carrera 4S,2009,"€57,000",France,"€57,000",2021
Porsche,911 Cabriolet,2000,"Estimate €23,000 (unsold)",France,Estimate,2021
Porsche,911,2000,"Estimate £14,500 - £16,500 (unsold)",UK,Estimate,2021
Porsche,911 Carrera,2012,"£53,000",UK,"£53,000",2021
Porsche,911 Carrera 2S,2005,"£16,875",UK,"£16,875",2021
Porsche,911 Carrera 4S,2009,"£38,160",UK,"£38,160",2021
Porsche,911 Carrera 2,2006,"Estimate £22,000 - £24,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2003,"Estimate £18,000 - £20,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2003,"£21,280",UK,"£21,280",2021
Porsche,911 Carrera 4S,2004,"£24,840",UK,"£24,840",2021
Porsche,911 Carrera 4S,2004,"£16,740",UK,"£16,740",2021
Porsche,911 Carrera 4S,2002,"Estimate £19,000 - £21,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera Cabriolet,2000,"Estimate €30,000 - €35,000 (unsold)",France,Estimate,2021
Porsche,911 Targa,2003,"£13,440",UK,"£13,440",2021
Porsche,911 Carrera S,2005,"£46,412",UK,"£46,412",2021
Porsche,911 Carrera 4S Convertible,2006,"£31,696",UK,"£31,696",2021
Porsche,911 Carrera Rothmans Tribute,2005,"Estimate £88,000 - £105,000 (unsold)",UK,Estimate,2021
Porsche,911 C4 Cabriolet,2003,"Estimate £15,000 - £17,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2008,"Estimate £23,000 - £25,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2004,"€48,000",France,"€48,000",2021
Porsche,911 Carrera 4 Cabriolet,2000,"£14,946",UK,"£14,946",2021
Porsche,911 Targa 4S,2008,"£39,432",UK,"£39,432",2021
Porsche,911 Carrera 4S Cabriolet,2004,"£18,281",UK,"£18,281",2021
